fips,votes.dem,votes.rep,votes.other,total,share.dem,share.rep,share.other,Y
6003,420,199,0,619,0.678513731825525,0.32148626817447495,0,-0.7469498865529216
6005,7206,10285,0,17491,0.4119833057000743,0.5880166942999256,0,0.355772510779019
6007,48127,41063,0,89190,0.5396008521134656,0.46039914788653435,0,-0.15873587745516127
6009,9006,12518,0,21524,0.41841665118007804,0.5815833488199219,0,0.32927658662312986
6011,2411,3277,0,5688,0.42387482419127986,0.5761251758087201,0,0.3068867705176435
6013,289768,105780,7352,402900,0.7192057582526682,0.2625465376023827,0.01824770414494912,-1.0077191371719167
6015,3920,4339,0,8259,0.4746337328974452,0.5253662671025547,0,0.1015522530138425
6017,41155,48034,0,89189,0.4614358272881185,0.5385641727118815,0,0.1545636670669639
6019,130722,121205,0,251927,0.5188884081499799,0.48111159185002006,0,-0.0755896039625532
6021,3030,5225,0,8255,0.3670502725620836,0.6329497274379164,0,0.5448921783295969
6023,36466,15622,0,52088,0.7000844724312701,0.29991552756872986,0,-0.8477001424289073
6025,22112,11225,0,33337,0.6632870384257732,0.3367129615742268,0,-0.6779770139569413
6029,79859,121953,0,201812,0.39570986859056945,0.6042901314094306,0,0.4233731449620236
6031,11566,18725,0,30291,0.3818295863457793,0.6181704136542208,0,0.4817897696672566
6033,12704,3890,3621,20215,0.6284442245857037,0.1924313628493693,0.17912441256492703,-1.1835077468744248
6035,2456,6556,0,9012,0.2725255215268531,0.727474478473147,0,0.9818466505966873
6037,2166403,603359,69222,2838984,0.7630909508472045,0.21252638267774668,0.02438266647504882,-1.2783110913794522
6039,15400,22977,0,38377,0.4012820178752899,0.5987179821247101,0,0.40012620617598266
6041,107005,20700,0,127705,0.8379076778512979,0.1620923221487021,0,-1.642741862070781
6043,3513,4713,0,8226,0.4270605397520058,0.5729394602479941,0,0.29385427465790376
6045,23839,9240,0,33079,0.720668702197769,0.27933129780223104,0,-0.9477810093550604
6047,32083,26717,0,58800,0.5456292517006802,0.4543707482993197,0,-0.18302622791943882
6049,1041,2421,0,3462,0.3006932409012132,0.6993067590987868,0,0.8439988883230897
6057,31666,22567,0,54233,0.5838880386480556,0.4161119613519444,0,-0.3387548878894692
6059,581435,492040,0,1073475,0.541638137823424,0.4583618621765761,0,-0.16693917183067689
6061,81259,93417,0,174676,0.4651984245116673,0.5348015754883327,0,0.13943175721427611
