Dist,GOPVote,DemVote,OtherVote,stateID,VID,PVI_GOP_State,PVI_GOP,TotPop,Black,BlackPct,White,WhitePct,Hispanic,HispanicPct,Female,FemalePct,Under35,Under35Pct,AtLeast65,AtLeast65Pct,MedianHHInc,Unemployed,BachelorDegreeOrHigher
CO-04,285606,173945,15556,5,1,-1,13,868302,14142,0.01628696,773040,0.890289323,194184,0.223636477,429453,0.49458944,399322,0.45988838,122785,0.141408174,83609,3.2,37.2
CO-05,249013,161600,21794,5,1,-1,14,820255,48944,0.059669249,663089,0.808393731,137286,0.167369903,400475,0.488232318,395541,0.482217115,121423,0.148030795,71244,5.4,37.8
CO-06,175192,250314,12967,5,1,-1,-2,828201,80789,0.097547576,605860,0.731537392,173992,0.210084267,413217,0.49893323,392983,0.474501963,105716,0.127645342,87312,3.7,44
CO-07,159301,250525,13865,5,1,-1,-6,808543,14469,0.017895152,690151,0.85357365,240323,0.297229708,401411,0.496462155,387763,0.479582409,112115,0.138663002,77164,3.8,36.2
CT-01,122111,222668,4458,6,1,-6,-12,703138,107703,0.153174768,476475,0.677640805,121150,0.172299037,365685,0.520075718,299100,0.425378802,124354,0.176855752,75502,4.9,38.6
CT-02,140340,217982,8850,6,1,-6,-3,701590,30230,0.043087843,604510,0.861628586,63088,0.089921464,349979,0.498836928,290976,0.414737952,130457,0.185944783,80280,4.8,35.8
CT-03,137596,203265,5240,6,1,-6,-9,717989,111063,0.154686214,513602,0.715334079,120242,0.167470532,372810,0.519241938,306516,0.426909047,126141,0.175686536,70574,6.1,36.1
CT-04,130627,223832,5656,6,1,-6,-7,737733,91538,0.124080121,533457,0.723103074,153359,0.207878731,378774,0.513429655,321567,0.435885341,116413,0.157798282,101646,5.5,52.6
CT-05,151988,192484,5052,6,1,-6,-2,704837,56211,0.079750354,532184,0.755045493,143115,0.203046946,354262,0.502615498,295217,0.418844357,131667,0.186804892,73616,5.3,36.1
DE-AL,196392,281382,10496,7,1,-6,-6,973764,219418,0.225329751,659719,0.677493725,93390,0.095906195,503476,0.51704109,414865,0.426042655,189638,0.194747393,70176,4.6,33.2
FL-01,283352,149172,6038,8,1,2,22,798305,102694,0.128640056,610105,0.764250506,55078,0.06899368,397154,0.497496571,361552,0.452899581,137233,0.171905475,58358,4.9,26.9
FL-03,223075,167326,0,8,1,2,9,758939,124096,0.163512483,566550,0.746502683,86434,0.113887941,383722,0.505603217,347379,0.457716628,129947,0.17122193,56005,5.3,30.1
FL-04,308497,196423,0,8,1,2,17,836235,82632,0.098814329,665073,0.795318302,72950,0.087236243,427747,0.511515304,361438,0.432220608,145084,0.173496685,77026,4.4,41.9
FL-05,117510,219463,0,8,1,2,-12,742643,349752,0.470955762,330808,0.44544687,72108,0.097096451,378727,0.509971817,374220,0.503902952,99694,0.134242159,43667,6.2,20.4
FL-06,265393,172305,0,8,1,2,7,790455,85968,0.108757614,629851,0.796820818,105691,0.133709066,409193,0.517667672,284129,0.359449937,205083,0.259449305,55281,3.8,24.8
FL-07,175570,224946,5753,8,1,2,0,814980,94528,0.115988122,602360,0.739110162,218001,0.267492454,421283,0.516924342,383951,0.471117083,120022,0.147269872,66748,3.9,41.1
FL-08,282093,177695,0,8,1,2,11,780036,70312,0.090139429,645766,0.827866919,92112,0.118086858,398868,0.51134563,281021,0.360266706,202175,0.259186755,58740,5.6,30.5
FL-09,188889,240724,0,8,1,2,-5,931872,121885,0.13079586,689400,0.739801174,410313,0.440310472,469682,0.504019865,424608,0.455650561,153952,0.165207239,54878,4.1,25.6
FL-10,136889,239434,0,8,1,2,-11,811634,239675,0.295299359,439898,0.541990602,231635,0.285393416,415915,0.512441568,393969,0.485402287,96590,0.119006843,61737,4.3,32.6
